longitude,latitude,OBJECTID,IDENTIFICATIE,NAAM,STRAAT,HUISNUMMER,HUISLETTER,HUISNUMMER_TOEVOEGING,POSTCODE,PLAATS,SPORT_SOORT,HOOFDBELEIDSVELD
4.758341262,51.56259764,338,4837BW004.07,Trafohuisje,Dr. Schaepmanlaan,1540,,TRD,4837BW,Breda,BUI - Atletiek,
4.81048651,51.58617365,339,4817GN004.01,Kleedkamers Honk- en Softbal Club Jeka,Langveld,4,,,4817 GN,Breda,BUI - Honkbal,
4.797371737,51.55691687,340,4851AT001.05,Schietbaan Handboogvereniging Alliance d'Amité,Jeugdland,6,,,4851 AT,Ulvenhout,BIN - Overig,
4.785539646,51.59983573,341,4816BB004.00,Gymzaal Archimedesstraat,Archimedesstraat,4,,,4816 BB,Breda,BIN - Gymzaal,
4.829346882,51.60627176,342,4847EJ036.01,Sporthal,Donkerstraat,36,,,4847 EJ,Teteringen,BIN - Sporthal,
4.829834116,51.6072584,343,4847EJ046.02,Clubhuis Scherpschuttervereniging Teteringen,Donkerstraat,46,,,4847 EJ,Teteringen,BUI - Schieten,
4.808646242,51.58436531,344,4817GN085.13,Clubhuis HV United Breda,Nieuwe Inslag,85,,,4817 GN,Breda,BUI - Handbal,
4.807986936,51.57110222,345,4834LP028.00,Gymzaal Stoutenburgstraat,Stoutenburgstraat,28,,,4834 LP,Breda,BIN - Gymzaal,
4.776110358,51.61769474,346,4826AB512.08,Clubhuis Korfbalclub Terda,Terheijdenseweg,518,,,4826 AB,Breda,BUI - Korfbal,
4.776110358,51.61769474,347,4826AB512.03,Kleedkamers Korfbalclub Terda,Terheijdenseweg,518,,,4826 AB,Breda,BUI - Korfbal,
4.76070756,51.5691614,348,4837CJ057.01,Kleedkamers Voetbalvereniging SAB,Ruitersboslaan,59,,,4837 CJ,Breda,BUI - Voetbal,
4.827768236,51.56470429,349,4854AB004.02,Sporthal de Huif,Deken Dr. Dirckxweg,4,,,4854 AB,Bavel,BIN - Sporthal,
4.760994444,51.57867477,350,4812EC163.00,De Boksring,Oranjeboomstraat,163,,,4812 EC,Breda,BIN - Gymzaal,
4.808483864,51.58988331,351,4817DP012.00,Gymzaal Elandstraat,Elandstraat,12,,,4817 DP,Breda,BIN - Gymzaal,
4.764896342,51.59943644,352,4815HC012.00,Skatehal Pier 15,Veilingkade,12,,,4815 HC,Breda,BIN - Overig,
4.772708396,51.61686877,353,4826AB512.05,Clubhuis Wielervereniging Breda,Terheijdenseweg,520,,,4826 AB,Breda,BUI - Wielrennen,
4.776022677,51.61658121,354,4826AB512.07,Clubhuis Voetbalvereniging Barca,Terheijdenseweg,512,,,4826 AB,Breda,BUI - Voetbal,
4.830169746,51.60553312,355,4847EJ038.02,Clubhuis Tennisvereniging Teteringen,Donkerstraat,44,,,4847 EJ,Teteringen,BUI - Tennis,
4.729808569,51.61504223,356,4822RK080.02,Clubhuis Voetbalvereniging WDS,Ganzerik,80,,,4822 RK,Breda,BUI - Voetbal,
4.810688889,51.58775549,357,4817GG005.01,Kleedkamers Voetbalvereniging PCP,Langveld,5,,,4817 GG,Breda,BUI - Voetbal,
4.757065534,51.56451744,358,4837BW004.04,Bijgebouw Atletiekvereniging Sprint,Dr. Schaepmanlaan,4,,,4837BW,Breda,BUI - Atletiek,
